UploadDate,SummitGenDate,CCY,Index,Days,Rate,DiscFreq
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,4,0.13000,0.99000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,11,0.17000,0.99000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,18,0.18000,0.99000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,26,0.20000,0.99000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,117,0.24000,0.99000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,208,0.24000,0.99000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,299,0.24000,0.99000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,390,0.25000,0.99000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,481,0.25000,0.99000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,572,0.27000,0.99000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,663,0.28000,0.99000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,734,0.44000,0.99000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,1102,0.59000,0.98000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,1466,0.81000,0.96000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,1830,1.03000,0.94000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,2195,1.25000,0.92000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,2561,1.45000,0.90000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,2926,1.63000,0.87000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,3293,1.80000,0.84000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,3657,1.95000,0.82000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,4022,2.08000,0.79000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,4387,2.20000,0.76000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,4752,2.30000,0.74000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,5117,2.38000,0.71000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,5484,2.45000,0.69000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,5848,2.50000,0.66000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,6213,2.54000,0.64000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,6578,2.57000,0.62000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,6944,2.60000,0.60000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,7311,2.62000,0.59000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,7675,2.63000,0.57000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,8039,2.64000,0.55000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,8405,2.65000,0.54000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,8770,2.65000,0.52000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,9135,2.65000,0.51000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,9502,2.65000,0.50000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,9866,2.65000,0.48000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,10231,2.65000,0.47000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,10596,2.65000,0.46000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,10961,2.64000,0.45000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,12788,2.64000,0.39000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,14614,2.65000,0.34000
2014-03-23 12:32:46,2014-02-21,EUR,EURIB,18266,2.65000,0.26000
